,z1,z2,z3,z4,z5,z6,z7,z8,z9,weight,k
1,0,0,0,0,0,0,0,0,0,1,1
2,-1,0,0,0,0,0,0,0,0,0.5,2
3,0,-1,0,0,0,0,0,0,0,0.5,2
4,0,0,-1,0,0,0,0,0,0,0.5,2
5,0,0,0,-1,0,0,0,0,0,0.5,2
6,0,0,0,0,-1,0,0,0,0,0.5,2
7,0,0,0,0,0,-1,0,0,0,0.5,2
8,0,0,0,0,0,0,-1,0,0,0.5,2
9,0,0,0,0,0,0,0,-1,0,0.5,2
10,0,0,0,0,0,0,0,0,-1,0.5,2
11,0,0,0,0,0,0,0,0,0,-8,2
12,0,0,0,0,0,0,0,0,1,0.5,2
13,0,0,0,0,0,0,0,1,0,0.5,2
14,0,0,0,0,0,0,1,0,0,0.5,2
15,0,0,0,0,0,1,0,0,0,0.5,2
16,0,0,0,0,1,0,0,0,0,0.5,2
17,0,0,0,1,0,0,0,0,0,0.5,2
18,0,0,1,0,0,0,0,0,0,0.5,2
19,0,1,0,0,0,0,0,0,0,0.5,2
20,1,0,0,0,0,0,0,0,0,0.5,2
21,-1.73205080756888,0,0,0,0,0,0,0,0,0.166666666666667,3
22,-1,-1,0,0,0,0,0,0,0,0.25,3
23,-1,0,-1,0,0,0,0,0,0,0.25,3
24,-1,0,0,-1,0,0,0,0,0,0.25,3
25,-1,0,0,0,-1,0,0,0,0,0.25,3
26,-1,0,0,0,0,-1,0,0,0,0.25,3
27,-1,0,0,0,0,0,-1,0,0,0.25,3
28,-1,0,0,0,0,0,0,-1,0,0.25,3
29,-1,0,0,0,0,0,0,0,-1,0.25,3
30,-1,0,0,0,0,0,0,0,0,-3.99999999999999,3
31,-1,0,0,0,0,0,0,0,1,0.25,3
32,-1,0,0,0,0,0,0,1,0,0.25,3
33,-1,0,0,0,0,0,1,0,0,0.25,3
34,-1,0,0,0,0,1,0,0,0,0.25,3
35,-1,0,0,0,1,0,0,0,0,0.25,3
36,-1,0,0,1,0,0,0,0,0,0.25,3
37,-1,0,1,0,0,0,0,0,0,0.25,3
38,-1,1,0,0,0,0,0,0,0,0.25,3
39,0,-1.73205080756888,0,0,0,0,0,0,0,0.166666666666667,3
40,0,-1,-1,0,0,0,0,0,0,0.25,3
41,0,-1,0,-1,0,0,0,0,0,0.25,3
42,0,-1,0,0,-1,0,0,0,0,0.25,3
43,0,-1,0,0,0,-1,0,0,0,0.25,3
44,0,-1,0,0,0,0,-1,0,0,0.25,3
45,0,-1,0,0,0,0,0,-1,0,0.25,3
46,0,-1,0,0,0,0,0,0,-1,0.25,3
47,0,-1,0,0,0,0,0,0,0,-3.99999999999999,3
48,0,-1,0,0,0,0,0,0,1,0.25,3
49,0,-1,0,0,0,0,0,1,0,0.25,3
